shop                                                        ,datetime            ,price_reg ,price_promo ,article ,name                                                                                            ,category_path
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:43 ,     4229 ,       4229 ,в211761 ,"Вино Ramirez de la Piscina, Gran Reserva, Rioja DOCa, 2014 "                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:43 ,     1165 ,       1165 ,в198259 ,"Вино Gran Sello, Macabeo-Verdejo, 2021 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:44 ,     1145 ,       1145 ,в182866 ,"Вино Gran Sello, Macabeo-Verdejo, 2020 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:40 ,     1377 ,       1377 ,в211735 ,"Вино ""Hoffman"" Sauvignon Blanc, 2022 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:41 ,      889 ,        889 ,в123336 ,"Вино ""Hoffman"" Sauvignon Blanc, 2018 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:41 ,      889 ,        889 ,в142486 ,"Вино ""Hoffman"" Sauvignon Blanc, 2019 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:43 ,     1477 ,       1477 ,в232838 ,"Вино ""Hoffman"" Sauvignon Blanc, 2023 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:43 ,     1251 ,       1251 ,в160654 ,"Вино ""Hoffman"" Sauvignon Blanc, 2020 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:44 ,     1271 ,       1271 ,в182457 ,"Вино ""Hoffman"" Sauvignon Blanc, 2021 "                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:44 ,     1589 ,       1589 ,в217054 ,"Вино ""L'Ostal"" Rose, Pays d'Oc IGP, 2022 "                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:44 ,     1271 ,       1271 ,в182844 ,"Вино ""L'Ostal"" Rose, Pays d'Oc IGP, 2020 "                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:45 ,     1271 ,       1271 ,в201719 ,"Вино ""L'Ostal"" Rose, Pays d'Oc IGP, 2021 "                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:45 ,     1900 ,       1900 ,в122544 ,"Игристое вино Marsuret, ""L'Ars"" Prosecco Treviso DOC Brut "                                  ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:45 ,     2119 ,       2119 ,в217045 ,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2021 "                                            ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:45 ,     2119 ,       2119 ,в232822 ,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2022 "                                            ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:46 ,     2327 ,       2327 ,в247783 ,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2023 "                                            ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:47 ,     2966 ,       2966 ,в198197 ,"Игристое вино ""Pierre Brecht"" Cremant d'Alsace Blanc de Noirs Brut AOC "                     ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:48 ,     1483 ,       1483 ,в122532 ,"Игристое вино ""Clos Amador"" Brut Delicat Reserva, Cava DO "                                  ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:48 ,     1801 ,       1801 ,в199104 ,"Вино Curatolo Arini, ""Corto di Passo"" Nero d'Avola, Sicilia DOC, 2020 "                      ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:48 ,     1261 ,       1261 ,в174733 ,"Вино Curatolo Arini, ""Corto di Passo"" Nero d'Avola, Sicilia DOC, 2019 "                      ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:49 ,     1271 ,       1271 ,в134393 ,"Вино Curatolo Arini, ""Corto di Passo"" Nero d'Avola, Sicilia DOC, 2018 "                      ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:49 ,      126 ,        126 ,в126882 ,"Подарочная упаковка Bag for wine ""Winestyle"" Big "                                           ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:50 ,     1483 ,       1483 ,в122533 ,"Игристое вино ""Clos Amador"" Rose Tendre Brut, Cava DO "                                      ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:51 ,     9336 ,       9336 ,в4412   ,"Коньяк ""Camus"" V.S.O.P., gift box,  0.7 л"                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
