shop,datetime,price_reg,price_promo,article,name,category_path
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:58,899,899,в150478,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2017 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,999,999,в171421,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:00,859,859,в106872,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:01,1199,1199,в198166,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:01,1299,1299,в243536,"Вино Vega Moragona, ""Tradicion"" Cabernet Sauvignon, Ribera del Jucar DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:02,1199,1199,в232841,"Вино Vega Moragona, ""Tradicion"" Cabernet Sauvignon, Ribera del Jucar DO, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:00,1599,1599,в240892,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:02,1199,1199,в192647,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:03,1299,1299,в207034,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:56,2799,2490,в243524,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:58,1750,1750,в122045,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2014 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,1999,1999,в150479,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2015 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:00,1999,1999,в179831,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2016 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:02,2499,2499,в223537,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:03,1999,1999,в198159,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2017 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1699,1499,в247792,"Вино ""Las Bas"" Gewurztraminer, Somontano DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1999,1999,в232847,"Вино Covinas, ""Veterum Vitium"" Orange, Utiel-Requena DOP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:05,1999,1999,в217052,"Вино Covinas, ""Veterum Vitium"" Orange, Utiel-Requena DOP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:03,1499,1499,в247786,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1299,1299,в124960,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon-Gros Manseng, Cotes de Gascogne IGP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1419,1419,в184080,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:05,1419,1419,в196229,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:06,1299,1299,в227168,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2022 ",Вино
