shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:03 ,      999 ,        750 ,в248920 ,"Вино ""Bendito"" Sauvignon Blanc, Valley Central DO, 2024 "                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:02 ,     1799 ,       1299 ,в232837 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2022 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:03 ,     1299 ,       1299 ,в192641 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2019 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:04 ,     1299 ,       1299 ,в211745 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2021 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:01 ,     5990 ,       5370 ,в2277   ,"Коньяк ""Hennessy"" V.S, gift box,  0.7 л"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:02 ,     8990 ,       8990 ,в2278   ,"Коньяк ""Hennessy"" V.S, gift box,  1 л"                                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:03 ,     4649 ,       4649 ,в29548  ,"Коньяк ""Hennessy"" V.S, gift box,  0.5 л"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:04 ,     3290 ,       3290 ,в33405  ,"Коньяк ""Hennessy"" V.S., gift box,  350 мл"                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:04 ,     5490 ,       4399 ,в246439 ,Набор Set of Sauvignon Blanc Wines                                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:05 ,     3299 ,       2490 ,в247632 ,Набор Set of Italian New Wines                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:06 ,     4099 ,       3290 ,в248916 ,Набор Set of Hot Spanish Wines                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:06 ,      999 ,        799 ,в248919 ,"Вино ""Bendito"" Chardonnay, Valley Central DO, 2024 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:05 ,     1499 ,       1290 ,в240890 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2023 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:06 ,      999 ,        999 ,в164324 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2020 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:08 ,      999 ,        999 ,в198255 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2021 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:08 ,     1299 ,       1299 ,в211744 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2022 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:07 ,     1599 ,       1280 ,в243533 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2021 "                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:08 ,     1499 ,       1499 ,в223543 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2020 "                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:09 ,     1299 ,       1299 ,в211736 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2019 "                                          ,
