shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                                          ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:44 ,     1399 ,       1099 ,в235534 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2023 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,      970 ,        970 ,в123333 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2018 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,      999 ,        999 ,в201713 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2021 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,      999 ,        999 ,в164196 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2020 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:49 ,     1099 ,       1099 ,в211739 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2022 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:44 ,     1399 ,       1399 ,в235546 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2020 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,      899 ,        899 ,в150478 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2017 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,      999 ,        999 ,в171421 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2018 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,      859 ,        859 ,в106872 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:49 ,     1199 ,       1199 ,в198166 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2019 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,     2799 ,       2490 ,в243524 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2019 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,     1750 ,       1750 ,в122045 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2014 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,     1999 ,       1999 ,в150479 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2015 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:49 ,     1999 ,       1999 ,в179831 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2016 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:50 ,     2499 ,       2499 ,в223537 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2018 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:51 ,     1999 ,       1999 ,в198159 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2017 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:50 ,     1599 ,       1599 ,в240892 ,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2023 "                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:50 ,     1199 ,       1199 ,в192647 ,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2021 "                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:52 ,     1299 ,       1299 ,в207034 ,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2022 "                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:51 ,     1299 ,       1299 ,в243536 ,"Вино Vega Moragona, ""Tradicion"" Cabernet Sauvignon, Ribera del Jucar DO, 2022 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:52 ,     1199 ,       1199 ,в232841 ,"Вино Vega Moragona, ""Tradicion"" Cabernet Sauvignon, Ribera del Jucar DO, 2020 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:53 ,     1699 ,       1499 ,в247792 ,"Вино ""Las Bas"" Gewurztraminer, Somontano DO, 2023 "                                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:53 ,     1999 ,       1999 ,в232847 ,"Вино Covinas, ""Veterum Vitium"" Orange, Utiel-Requena DOP, 2022 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:54 ,     1999 ,       1999 ,в217052 ,"Вино Covinas, ""Veterum Vitium"" Orange, Utiel-Requena DOP, 2021 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:51 ,     1499 ,       1499 ,в247786 ,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2023 "  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:52 ,     1299 ,       1299 ,в124960 ,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon-Gros Manseng, Cotes de Gascogne IGP, 2018 "        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:53 ,     1419 ,       1419 ,в184080 ,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2020 "  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:54 ,     1419 ,       1419 ,в196229 ,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2021 "  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:55 ,     1299 ,       1299 ,в227168 ,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2022 "  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:08 ,     1299 ,       1039 ,в235551 ,"Вино ""Masamadre"" Red Blend, Calatayud DO, 2020 "                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:08 ,     1199 ,        959 ,в235561 ,"Вино ""Vina Tempero"" Verdejo Viura, Rueda DO, 2023 "                                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:12 ,     1199 ,       1199 ,в221490 ,"Вино ""Vina Tempero"" Verdejo Viura, Rueda DO, 2022 "                                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:07 ,     1299 ,       1299 ,в243534 ,"Вино Vega Moragona, ""Tradicion"" Syrah, Ribera del Jucar DO, 2022 "                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:12 ,     1199 ,       1199 ,в232840 ,"Вино Vega Moragona, ""Tradicion"" Syrah, Ribera del Jucar DO, 2021 "                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:07 ,     1499 ,       1199 ,в243531 ,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2022 "                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:11 ,     1399 ,       1399 ,в223542 ,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2021 "                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:15 ,     1099 ,       1099 ,в192668 ,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2019 "                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:15 ,     1999 ,       1599 ,в247778 ,"Вино ""Valvirginio"" Chianti DOCG Riserva, 2021 "                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:18 ,     1999 ,       1999 ,в221494 ,"Вино ""Valvirginio"" Chianti DOCG Riserva, 2020 "                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:21 ,     1499 ,       1199 ,в247787 ,"Вино Connoisseur, ""Les Gardien des Cieux"", Cotes de Gascogne IGP, 2023 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:25 ,     1299 ,       1299 ,в227170 ,"Вино Connoisseur, ""Les Gardien des Cieux"", Cotes de Gascogne IGP, 2022 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:21 ,      999 ,        999 ,в221481 ,"Вино Familia Bastida, ""Talma"" Syrah, 2022 "                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:25 ,      799 ,        799 ,в192605 ,"Вино Familia Bastida, ""Talma"" Syrah, 2021 "                                                                ,
